三封直播,#genre#
サンテレビ,p8p://0198.02686.cc:16871/5d400580000c583e70eee8cc921a4eb4.ts
NHKBS1,p8p://0198.02686.cc:16871/5d40058100043b7170eeeaa0dd43366a.ts
BSフジ,p8p://0198.02686.cc:16871/5d414e77000e263075f3ee1a2ddf99a4.ts
WOWOWプライム,p8p://0198.02686.cc:16871/5d414e7800088abf75f3f093649cd5e5.ts
BS朝日,p8p://0198.02686.cc:16871/5d400582000d61d070eef0e0b97dc63c.ts
BS日テレ,p8p://0198.02686.cc:16871/5d4005820004c65270eeeeac9683f562.ts
NHKBSプレミアム,p8p://0198.02686.cc:16871/5d400581000b66b570eeec7672a2ec07.ts
テレビ大阪,p8p://0198.02686.cc:16871/5d4005800003b66470eee6965068cd2c.ts
ABC朝日放送,p8p://0198.02686.cc:16871/5d40057f000bcd0b70eee4c0aa37319f.ts
関西テレビ,p8p://0198.02686.cc:16871/5d40057f0002f0b670eee27c7e0cae84.ts
MBS毎日放送,p8p://0198.02686.cc:16871/5d40057e000b0ab570eee0a6c5bec41b.ts
CnnNews,p8p://0198.02686.cc:16871/5d1a6972000da8dd11bcddf043353558.ts
Espn,p8p://0198.02686.cc:16871/5d1a69780009978d11bcf455a30b876a.ts
BS日本映画専门ch,p8p://0198.02686.cc:16871/5d414f66000120c375f7905ddc89411f.ts
地方直播,#genre#
北京纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
新华中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8

电影直播,#genre#
TVB功夫台,http://dlhls-cdn-mp.zhanqi.tv/zqlive/301200_QSU3A.m3u8
TVB港剧二台,https://dlhls-cdn-mp.zhanqi.tv/zqlive/123407_XhQs9.m3u8
TVB港剧三台,https://dlhls-cdn-mp.zhanqi.tv/zqlive/154733_xcVyM.m3u8
齐影视1,https://dlhls-cdn-mp.zhanqi.tv/zqlive/300450_H4Bs3.m3u8
齐影视2,https://dlhls-cdn-mp.zhanqi.tv/zqlive/295803_fLcJv.m3u8
港台武侠,https://dlhls-cdn-mp.zhanqi.tv/zqlive/296155_gui3i.m3u8
星光影视1,https://cn-lnsy-cu-live-02.live-play.acgvideo.com/live-bvc/110319/live_481475093_70209622.m3u8
星光影视2,https://dlhls-cdn-mp.zhanqi.tv/zqlive/299458_Av0vD.m3u8
CHC家庭影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240323_1/encoder/0/playlist.m3u8?CONTENTID=00000110240323_1
CHC动作影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240324_1/encoder/0/playlist.m3u8?CONTENTID=00000110240324_1
